,Name,Album,Artist
0,Lagu Cinta,Cinta Sejati,Raisa
1,Kangen,Terbaik Dewa 19,Dewa 19
2,Separuh Aku,Seperti Seharusnya,NOAH
3,Bintang di Surga,Bintang di Surga,Peterpan
4,Kenangan Terindah,OST Badai Pasti Berlalu,Samsons
5,Mungkin Nanti,Bintang di Surga,Peterpan
6,Ayah,Untuk Ayah,Rinto Harahap
7,Cinta Mati,Cinta Mati,Agnes Monica
8,Bukan Cinta Biasa,Bukan Cinta Biasa,Afgan
9,Hapus Aku,Taman Langit,Nidji
10,Deg-degan,Deg-degan,Isyana Sarasvati
11,Kali Kedua,Kali Kedua,Raisa
12,Anganku Anganmu,Anganku Anganmu,Raisa & Isyana Sarasvati
13,Peri Cintaku,Peri Cintaku,Marcell
14,Dia,Dia,Anji
15,Bahagia,Bahagia,GAC
16,Melompat Lebih Tinggi,Melompat Lebih Tinggi,Sheila on 7
17,Bila Rasaku Ini Rasamu,OST Dealova,Kerispatih
18,Ku Tak Bisa,OST Dealova,Slank
19,Cinta Itu Buta,Cinta Itu Buta,Radja
20,Aku Lelakimu,Aku Lelakimu,Virgoun

