,Name,Album,Artist
0,Takut,Story of Peter,Idgitaf
1,Cinta Luar Biasa,Cinta Luar Biasa,Andmesh
2,Ada Apa Dengan Cinta?,OST AADC,Melly Goeslaw
3,Sempurna,Ost Cinta Silver,Andra and The Backbone
4,Akad,Monokrom,Payung Teduh
5,Buka Hati,Buka Hati,Rizky Febian
6,Pelangi,OST Laskar Pelangi,Nidji
7,Kasih Putih,Kerispatih Kerispatih,Kerispatih
8,Ku Menunggu,Ku Menunggu,Rossa
9,Laskar Pelangi,Laskar Pelangi,Nidji
10,Menghapus Jejakmu,Pagi Yang Sempurna,NOAH
11,Sebelah Mata,Secukupnya,Hindia
12,Janji Suci,OST Janji Suci,Yovie & Nuno
13,Kangen,Kangen,Dewa 19
14,Kenangan Terindah,Kenangan Terindah,Samsons
15,Melukis Senja,Melukis Senja,Budi Doremi
16,Ruang Rindu,Ruang Rindu,Letto
17,Seberapa Pantas,Seberapa Pantas,Sheila on 7
18,Selamat Jalan,Selamat Jalan,Sheila on 7
19,Dialah Yang Kau Panggil Sayang,Dialah Yang Kau Panggil Sayang,Judika
20,Separuh Aku,Separuh Aku,NOAH
21,Sungguh Aku,Bertaut,Nadin Amizah

