,Name,Album,Artist
0,Ku Tak Bisa,Langit,Slank
1,Seberapa Pantas,OST Ada Apa Dengan Cinta,Sheila on 7
2,Bahagia,Bahagia,GAC
3,Pelangi,Pelangi,Maliq & D'Essentials
4,Dunia Tipu-Tipu,Dunia Tipu-Tipu,Yura Yunita
5,Hari Bersamanya,Menentukan Arah,Sheila on 7
6,Cinta dan Rahasia,Cinta dan Rahasia,Yura Yunita feat. Glenn Fredly
7,Manusia Kuat,Manusia Kuat,Tulus
8,Kasih Tak Sampai,Senyawa,Padi
9,Andai Aku Bisa,OST Bintang di Surga,Chrisye
10,Menemukanmu,OST Dealova,Seventeen
11,Bintang Kehidupan,Bintang Kehidupan,Nike Ardilla
12,Cinta Ini Membunuhku,OST Rasa Baru,D'Masiv
13,Cinta Sejati,OST Habibie & Ainun,Bunga Citra Lestari
14,Sempurna,OST Dunia Tanpa Koma,Andra and The Backbone
15,Mungkin Nanti,Mungkin Nanti,Peterpan
16,Janji Suci,OST Cinta Silver,Yovie & Nuno
17,Kangen,Kangen,Dewa 19
18,Kita Selamanya,OST Garasi,Project Pop
19,Terlalu Manis,Terlalu Manis,Slank
20,Hanya Engkau Yang Bisa,Hanya Engkau Yang Bisa,Titi DJ
21,Kenangan Terindah,OST Heart,Samsons
