,Name,Album,Artist
0,Menunggu,Menunggu,Anji
1,Harus Bahagia,Harus Bahagia,Anji
2,Siap Menunggu,Siap Menunggu,The Rain
3,Tunggu Aku,The Best of The Rain,The Rain
4,Lembah,The Story,Andra and The Backbone
5,Menyelam,Indigo,Geisha
6,Berjalan Tanpa Henti,Menunggu,Barasuara
7,Angin Kencang,Angin Kencang,NOAH
8,Sahabat,Keindahan Hati,Afgansyah Reza
9,Belum Siap Kehilangan,Seperti Cahaya,Fiersa Besari
10,Menunggu,Menunggu,Rif
11,Meraih Mimpi,Meraih Mimpi,Glenn Fredly
12,Seperti Yang Dulu,Seperti Yang Dulu,Ari Lasso
13,Senyum Dan Semangat,Positive,Parade
14,Membuka Hati,Membuka Hati,Tompi
15,Makna Cinta,The Best of Dewa 19,Dewa 19
16,Setia Menunggu,Setia Menunggu,ST12
17,Kehilangan,Indigo,Geisha
18,Hidup Untuk Cinta,Senandung Cinta,Andra and The Backbone
19,Terima Kasih Cinta,Terima Kasih Cinta,Afgan
20,Merpati Putih,Merpati Putih,NOAH

