,Name,Album,Artist
0,Usai,Usai,Tiara Andini
1,Tak Akan Hilang,Single,Budi Doremi
2,Runtuh,Single,Feby Putri & Fiersa Besari
3,Tertawan Hati,Single,Awdella
4,Rumah Singgah,Single,Fabio Asher
5,Sang Dewi,Single,Lyodra & Andi Rianto
6,Apa Mungkin,Single,Bernadya
7,Ternyata Hanya Kamu,Single,Brisia Jodie & Stevan Pasaribu
8,Berpisah Itu Mudah,Single,Riassa Ramadhani
9,Kisah Sempurna,Single,Mahalini
10,Tak Ingin Usai,Single,Keisya Levronka
11,Pilihan Yang Terbaik,Single,Ziva Magnolya
12,Hati-hati di Jalan,Single,Tulus
13,Sisa Rasa,Single,Mahalini
14,Menjadi Dia,Single,Tiara Andini
15,Andaikan Kau Datang,Single,Andmesh
16,Selamat (Selamat Tinggal),Single,Virgoun & Audy
17,Belum Sampai Kehilangan,Single,Stevan Pasaribu
18,Bertahan Terluka,Single,Fabio Asher
19,To the Bone,Single,Pamungkas
20,Bertaut,Single,Nadin Amizah
21,Tutur Batin,Single,Yura Yunita

