,Name,Album,Artist
0,Aku Cinta Kau dan Dia,Anugerah,Chrisye
1,Takkan Terganti,The Best of Chrisye,Chrisye
2,Laskar Pelangi,Laskar Pelangi,Chrisye
3,Teman Hidup,Teman Hidup,Glenn Fredly
4,Kasih Putih,Kasih Putih,Glenn Fredly
5,Sempurna,Semesta,Andra and the Backbone
6,Jangan Menyerah,The Best of Dewa 19,Dewa 19
7,Kangen,The Best of Dewa 19,Dewa 19
8,Separuh Aku,Separuh Aku,Ariel Noah
9,Noah,Seperti Seharusnya,Noah
10,Di Atas Normal,Di Atas Normal,Kotak
11,Perahu Kertas,Perahu Kertas,Maudy Ayunda
12,Menunggu,Perjalanan,Anji
13,Seperti Yang Kau Minta,The Best of Afgansyah Reza,Afgansyah Reza
14,Hanya Rindu,Hanya Rindu,Andmesh Kamaleng
15,Bersamamu,Bersamamu,Republik
16,Di Sini,Di Sini,Melanie Subono
17,Kekasih Bayangan,Kekasih Bayangan,Sahrul Gunawan
18,Cinta Dalam Hati,Cinta Dalam Hati,Ungu
19,Tak Ada Yang Bisa,Raindrop,Afgan
20,Selalu Ada,Selalu Ada,Glenn Fredly
